zip_code,postal_area_name,city,county,chia_region
02134,Allston,Boston,Suffolk,Metro Boston
02135,Brighton,Boston,Suffolk,Metro Boston
02136,Hyde Park,Boston,Suffolk,Metro Boston
02137,Readville,Boston,Suffolk,Metro Boston
02138,Cambridge,Cambridge,Middlesex,Metro Boston
02139,Cambridge,Cambridge,Middlesex,Metro Boston
02140,Cambridge,Cambridge,Middlesex,Metro Boston
02141,Cambridge,Cambridge,Middlesex,Metro Boston
02142,Cambridge,Cambridge,Middlesex,Metro Boston
02143,Somerville,Somerville,Middlesex,Metro Boston
02144,Somerville,Somerville,Middlesex,Metro Boston
02145,Somerville,Somerville,Middlesex,Metro Boston
02146,Brookline,Brookline,Norfolk,Metro Boston
02148,Malden,Malden,Middlesex,Metro Boston
02149,Everett,Everett,Middlesex,Metro Boston
02150,Chelsea,Chelsea,Suffolk,Metro Boston
02151,Revere,Revere,Suffolk,Metro Boston
02152,Winthrop,Winthrop,Suffolk,Metro Boston
02153,Medford,Medford,Middlesex,Metro Boston
02154,Waltham,Waltham,Middlesex,Metro Boston
02155,Medford,Medford,Middlesex,Metro Boston
02156,West Medford,Medford,Middlesex,Metro Boston
02158,Newton,Newton,Middlesex,Metro Boston
02160,Newton,Newton,Middlesex,Metro Boston
02161,Newton Highlands,Newton,Middlesex,Metro Boston
02162,Newton,Newton,Middlesex,Metro Boston
